Title,Price,Package Sizing,Category
Rapini,2.79,"1 bunch, $4.99/1ea",southAsian
"Noodles, Masala",0.39,"70 g, $0.56/100g",southAsian
Ginger,3.99,"160 g, $2.49/100g",southAsian
Basmati Rice     ,13.99,"3.63 kg, $0.44/100g",southAsian
Coconuts,2.98,"1 ea, $2.98/1ea",southAsian
Veg Spring Roll,3.49,"400 g, $1.00/100g",southAsian
Masala Munch Flavoured Snack,1.49,"115 g, $1.30/100g",southAsian
Paneer,5.99,"341 g, $1.76/100g",southAsian
Frozen Samosa,3.49,"400 g, $1.00/100g",southAsian
Malai Paneer 20% M.F.,5.29,"375 g, $1.46/100g",southAsian
Chilli Chatka Flavoured Snack,1.49,"115 g, $1.30/100g",southAsian
Biscuit Original Glucose,1.29,"300 g, $0.50/100g",southAsian
Fenugreek,2.49,"1 bunch, $2.49/1ea",southAsian
Noodles Masala,1.49,"280 g, $0.64/100g",southAsian
Karela,0.86,$6.59/1kg $2.99/1lb,southAsian
Indian Eggplant,0.55,$5.49/1kg $2.49/1lb,southAsian
Aged Basmati Rice,10.00,"3.63 kg, $0.28/100g",southAsian
Magic Masala ridged flavoured potato chips,3.49,"165 g, $2.42/100g",southAsian
3.25% M.F. Dahi Yogurt,2.49,"750 g, $0.37/100g",southAsian
Dahi,2.79,"750 g, $0.47/100g",southAsian
Paneer,5.29,"350 g, $1.51/100g",southAsian
Non-Melting Cheese Paneer 20% M.F.,4.00,"300 g, $1.33/100g",southAsian
"Red Onions, 10 lb Bag",13.99,"4.54 kg, $0.31/100g",southAsian
Rice Basmati,17.99,"4.54 kg, $0.42/100g",southAsian
Mango Red 3Ct,5.49,"3 ea, $1.83/1ea",southAsian
Fiji Mix,3.19,"341 g, $0.94/100g",southAsian
Cheddar Smokies ,10.99,"1 kg, $1.50/100g",sausage
Original Smokies,10.99,"1 kg, $1.50/100g",sausage
Original Breakfast Sausage,6.49,"375 g, $1.73/100g",sausage
Maple Breakfast Sausage,6.49,"375 g, $1.73/100g",sausage
Mild Italian Sausage,6.49,"500 g, $1.30/100g",sausage
Free From Mild Italian Pork Sausages,7.99,"500 g, $1.60/100g",sausage
Cheddar Jalapeno Smokies Pork Sausages,10.99,"1000 g, $1.50/100g",sausage
"Smoked Sausage, Classic Cheddar",8.49,"375 g, $2.26/100g",sausage
Free From Original Breakfast Pork Sausages,6.99,"375 g, $1.86/100g",sausage
Hot Italian Sausage,6.49,"500 g, $1.30/100g",sausage
"Smoked Sausages, Cheese",11.00,"900 g, $1.22/100g",sausage
Original Bratwurst Sausage,6.49,"500 g, $1.30/100g",sausage
"Smoked Sausage, Classic Recipe",8.49,"375 g, $2.26/100g",sausage
Honey Garlic Smokies,10.99,"1 kg, $1.50/100g",sausage
Italian Smokies,10.99,"1 kg, $1.50/100g",sausage
Ground Mild Italian Sausage,6.49,"375 g, $1.73/100g",sausage
Brown Sugar & Honey Breakfast Sausage,6.49,"375 g, $1.73/100g",sausage
Honey Garlic Sausage,6.49,"500 g, $1.30/100g",sausage
October Wurst Fully Cooked Pork Sausages,10.99,"1 kg, $1.50/100g",sausage
